2512.15577	moonseg3r	understanding	CVPR 2026	LIKELY	MoonSeg3R: Monocular Online Zero-Shot Segment Anything 
2512.13122	dept3r	dynamic	arXiv preprint (2025-12)	PREPRINT	DePT3R: Joint Dense Point Tracking and 3D Reconstructio
2512.09373	fuser	pose	CVPR 2026	LIKELY	FUSER: Feed-Forward MUltiview 3D Registration Transform
2512.07821	worldreel	dynamic	arXiv preprint (2025-12)	PREPRINT	WorldReel: 4D Video Generation with Consistent Geometry
2512.05060	4dlangvggt	understanding	arXiv preprint (2025-12)	PREPRINT	4DLangVGGT: 4D Language-Visual Geometry Grounded Transf
2512.03939	mut3r	dynamic	arXiv preprint (2025-12)	PREPRINT	MUT3R: Motion-aware Updating Transformer for Dynamic 3D
2512.01540	flashvggt	foundation	arXiv preprint (2025-12)	PREPRINT	FlashVGGT: Efficient and Scalable Visual Geometry Trans
2512.00771	eag3r	dynamic	NEURIPS 2025	LIKELY	EAG3R: Event-Augmented 3D Geometry Estimation for Dynam
2511.22264	drivevggt	reconstruction	arXiv preprint (2025-11)	PREPRINT	DriveVGGT: Calibration-Constrained Visual Geometry Tran
2511.18922	one4d	dynamic	arXiv preprint (2025-11)	PREPRINT	One4D: Unified 4D Generation and Reconstruction via Dec
2511.18559	c3po	reconstruction	NEURIPS 2025	LIKELY	C3Po: Cross-View Cross-Modality Correspondence by Point
2511.18115	muskie	foundation	arXiv preprint (2025-11)	PREPRINT	Muskie: Multi-view Masked Image Modeling for 3D Vision 
2511.13864	grloc	pose	arXiv preprint (2025-11)	PREPRINT	GRLoc: Geometric Representation Regression for Visual L
2510.13454	text-to-3d	reconstruction	ICLR 2026	LIKELY	Text-to-3D by Stitching a Multi-view Reconstruction Net
2509.23737	grs-slam3r	robotics	arXiv preprint (2025-09)	PREPRINT	GRS-SLAM3R: Real-Time Dense SLAM with Gated Recurrent S
2509.17650	evict3r	reconstruction	arXiv preprint (2025-09)	PREPRINT	Evict3R: Training-Free Token Eviction for Memory-Bounde
